,node,x,y,scale,cond,optimal
64,10,22.763333333333335,6.953333333333333,S1,C2,139.0
65,1,0.0,0.0,S1,C2,139.0
66,1,0.0,0.0,S2,C2,209.0
67,2,-20.285,10.715,S2,C2,209.0
68,3,0.0,30.0,S2,C2,209.0
69,4,-12.0,46.0,S2,C2,209.0
70,5,21.57,61.5,S2,C2,209.0
71,6,16.5,40.0,S2,C2,209.0
72,7,11.5,30.0,S2,C2,209.0
73,8,14.5,22.43,S2,C2,209.0
74,9,23.4,21.0,S2,C2,209.0
75,10,34.145,10.43,S2,C2,209.0
76,1,0.0,0.0,S2,C2,209.0
77,1,0.0,0.0,S3,C2,418.0
78,2,-40.57,21.43,S3,C2,418.0
79,3,0.0,60.0,S3,C2,418.0
80,4,-24.0,92.0,S3,C2,418.0
81,5,43.14,123.0,S3,C2,418.0
82,6,33.0,80.0,S3,C2,418.0
83,7,23.0,60.0,S3,C2,418.0
84,8,29.0,44.86,S3,C2,418.0
85,9,46.8,42.0,S3,C2,418.0
86,10,68.29,20.86,S3,C2,418.0
87,1,0.0,0.0,S3,C2,418.0
88,1,0.0,0.0,S4,C2,836.0
89,2,-81.14,42.86,S4,C2,836.0
90,3,0.0,120.0,S4,C2,836.0
91,4,-48.0,184.0,S4,C2,836.0
92,5,86.28,246.0,S4,C2,836.0
93,6,66.0,160.0,S4,C2,836.0
94,7,46.0,120.0,S4,C2,836.0
95,8,58.0,89.72,S4,C2,836.0
96,9,93.6,84.0,S4,C2,836.0
97,10,136.58,41.72,S4,C2,836.0
98,1,0.0,0.0,S4,C2,836.0
99,1,0.0,0.0,S5,C2,1255.0
100,2,-121.71000000000001,64.28999999999999,S5,C2,1255.0
101,3,0.0,180.0,S5,C2,1255.0
102,4,-72.0,276.0,S5,C2,1255.0
103,5,129.42000000000002,369.0,S5,C2,1255.0
104,6,99.0,240.0,S5,C2,1255.0
105,7,69.0,180.0,S5,C2,1255.0
106,8,87.0,134.57999999999998,S5,C2,1255.0
107,9,140.39999999999998,126.0,S5,C2,1255.0
108,10,204.87,62.58,S5,C2,1255.0
109,1,0.0,0.0,S5,C2,1255.0
